# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
78 34.6410161514 1.4917999999999999e-03

21 36.3730669589 1.3474600000000000e-03
23 36.3730669589 1.2741700000000000e-03
25 36.3730669589 1.1912500000000000e-03
27 36.3730669589 1.0953499999999999e-03
29 36.3730669589 9.9013000000000009e-04
31 36.3730669589 8.8407999999999998e-04
33 36.3730669589 7.7240999999999996e-04
35 36.3730669589 6.7823999999999998e-04
37 36.3730669589 5.9431000000000002e-04
39 36.3730669589 5.1522000000000004e-04
41 36.3730669589 4.6309999999999998e-04
43 36.3730669589 4.2447999999999997e-04
45 36.3730669589 4.1502999999999999e-04
47 36.3730669589 4.2489999999999997e-04
49 36.3730669589 4.6072000000000002e-04
51 36.3730669589 5.1475000000000002e-04
53 36.3730669589 5.8936999999999998e-04
55 36.3730669589 6.8369999999999998e-04
57 36.3730669589 7.7649999999999996e-04
59 36.3730669589 8.8409000000000003e-04
61 36.3730669589 9.9389000000000009e-04
63 36.3730669589 1.0969000000000000e-03
65 36.3730669589 1.1898799999999999e-03
67 36.3730669589 1.2763600000000000e-03
69 36.3730669589 1.3531200000000000e-03
71 36.3730669589 1.4075299999999999e-03
